,true_x,true_y,true_yaw,odo_x,odo_y,odo_yaw,z_x,z_y,u_dl,u_dtheta,z_n,u_dl_n,u_dtheta_n
286,2.78080539693,19.6198717195,2.87,3.35689185742,19.8542635942,2.80620478104,0.0,0.0,0.0642320175782,0.00633642756298,0.0,0.05,0.01
287,2.68447091058,19.6466983246,2.88,3.27294360628,19.8835242652,2.82116005934,0.0,0.0,0.0889016070409,0.0149552782974,0.0,0.05,0.01
288,2.58787297934,19.6725602596,2.89,3.19300699625,19.910052794,2.82833195044,0.0,0.0,0.0842236574005,0.00717189110614,0.0,0.05,0.01
289,2.49102126292,19.6974549382,2.9,3.10700826728,19.9379100665,2.81877122758,0.0,0.0,0.0903980586752,-0.00956072286116,0.0,0.05,0.01
290,2.39392544641,19.7213798712,2.91,3.01737104366,19.9678958347,2.82482174662,0.0,0.0,0.0945197236103,0.00605051904091,0.0,0.05,0.01
291,2.2965952393,19.7443326659,2.92,2.94437272916,19.9918253767,2.82736526029,0.0,0.0,0.076820419836,0.00254351367269,0.0,0.05,0.01
292,2.19904037454,19.7663110271,2.93,2.93603535462,19.9945349819,2.8431194754,0.0,0.0,0.00876662845249,0.0157542151051,0.0,0.05,0.01
293,2.10127060754,19.787312757,2.94,2.81876892706,20.0306136537,2.85112889524,0.0,0.0,0.122691016761,0.00800941983604,0.0,0.05,0.01
294,2.00329571518,19.8073357555,2.95,2.64332207057,20.0830578618,2.86351600402,0.0,0.0,0.183117433403,0.0123871087801,0.0,0.05,0.01
295,1.90512549488,19.8263780202,2.96,2.50834124774,20.121591254,2.88292911035,0.0,0.0,0.140373234065,0.0194131063382,0.0,0.05,0.01
296,1.80676976358,19.844437647,2.97,2.42807406719,20.1428292288,2.89305603075,0.0,0.0,0.0830293432839,0.0101269203971,0.0,0.05,0.01
297,1.70823835676,19.8615128299,2.98,2.38286771544,20.1543018646,2.89111725123,0.0,0.0,0.0466394212144,-0.00193877951771,0.0,0.05,0.01
298,1.60954112749,19.8776018614,2.99,2.30320381968,20.1746837434,2.88209125236,0.0,0.0,0.0822299049603,-0.00902599887164,0.0,0.05,0.01
